===== 方案A 3串1 优化网格（7+8月合并，全部组合按 p_hit 排序） =====
cfg = 选数|方向腿|选场门槛|组合约束  [月份: 出串/命中]
curr|all|phat45|difflg                 n=14  命中=7   p_hit=0.500 均赔=3.98 ROI=+0.991 出串=14天 [2026-07:4/1 2026-08:10/6]
curr|all|phat50|difflg                 n=14  命中=7   p_hit=0.500 均赔=3.98 ROI=+0.991 出串=14天 [2026-07:4/1 2026-08:10/6]
mild|all|none|difflg                   n=24  命中=11  p_hit=0.458 均赔=4.28 ROI=+0.961 出串=24天 [2026-07:5/1 2026-08:19/10]
mild|all|phat45|difflg                 n=22  命中=10  p_hit=0.455 均赔=4.02 ROI=+0.829 出串=22天 [2026-07:5/1 2026-08:17/9]
mild|ambi|none|difflg                  n=22  命中=10  p_hit=0.455 均赔=4.35 ROI=+0.978 出串=22天 [2026-07:5/1 2026-08:17/9]
mild|ambi|phat45|difflg                n=20  命中=9   p_hit=0.450 均赔=4.13 ROI=+0.858 出串=20天 [2026-07:5/1 2026-08:15/8]
curr|ambi|phat45|difflg                n=12  命中=5   p_hit=0.417 均赔=3.97 ROI=+0.653 出串=12天 [2026-07:4/1 2026-08:8/4]
curr|ambi|phat50|difflg                n=12  命中=5   p_hit=0.417 均赔=3.97 ROI=+0.653 出串=12天 [2026-07:4/1 2026-08:8/4]
mild|all|phat50|difflg                 n=22  命中=9   p_hit=0.409 均赔=4.01 ROI=+0.639 出串=22天 [2026-07:5/1 2026-08:17/8]
curr|all|phat45|difflg_loose           n=20  命中=8   p_hit=0.400 均赔=4.06 ROI=+0.626 出串=20天 [2026-07:5/2 2026-08:15/6]
mild|ambi|phat50|difflg                n=20  命中=8   p_hit=0.400 均赔=4.11 ROI=+0.643 出串=20天 [2026-07:5/1 2026-08:15/7]
curr|all|phat45|ladder                 n=21  命中=8   p_hit=0.381 均赔=4.05 ROI=+0.544 出串=21天 [2026-07:7/2 2026-08:14/6]
curr|all|phat50|ladder                 n=21  命中=8   p_hit=0.381 均赔=4.05 ROI=+0.544 出串=21天 [2026-07:7/2 2026-08:14/6]
all345|all|none|difflg                 n=24  命中=9   p_hit=0.375 均赔=4.05 ROI=+0.519 出串=24天 [2026-07:5/1 2026-08:19/8]
all345|all|phat45|difflg               n=24  命中=9   p_hit=0.375 均赔=4.05 ROI=+0.519 出串=24天 [2026-07:5/1 2026-08:19/8]
all345|all|phat50|difflg               n=24  命中=9   p_hit=0.375 均赔=4.05 ROI=+0.519 出串=24天 [2026-07:5/1 2026-08:19/8]
mild|all|none|ladder                   n=35  命中=13  p_hit=0.371 均赔=4.33 ROI=+0.608 出串=35天 [2026-07:11/3 2026-08:24/10]
curr|all|phat50|difflg_loose           n=19  命中=7   p_hit=0.368 均赔=4.00 ROI=+0.475 出串=19天 [2026-07:5/2 2026-08:14/5]
