=== 联赛历史赛季基线预计算（season=2025） ===
标准盘口线 STANDARD_GL = 2.5

[写入] 英超(Premier League) id=1: 球队=20 场次=881 场均总进球=3.165 主胜率=0.527 平局率=0.226
[写入] 西甲(La Liga) id=2: 球队=23 场次=903 场均总进球=2.946 主胜率=0.498 平局率=0.231
[写入] 德甲(Bundesliga) id=3: 球队=18 场次=646 场均总进球=3.322 主胜率=0.449 平局率=0.237
[写入] 意甲(Serie A) id=4: 球队=28 场次=960 场均总进球=2.496 主胜率=0.450 平局率=0.275
[写入] 法甲(Ligue 1) id=5: 球队=18 场次=676 场均总进球=3.275 主胜率=0.556 平局率=0.188
[写入] 韩K(K League 1) id=6: 球队=136 场次=3608 场均总进球=2.480 主胜率=0.391 平局率=0.242
[写入] 日职联(J1 League) id=7: 球队=17 场次=609 场均总进球=2.473 主胜率=0.466 平局率=0.256
[跳过] 欧冠(Champions League) id=8: 有效球队统计仅 1 支（<6），数据不足
[写入] 瑞典超(Allsvenskan) id=9: 球队=13 场次=398 场均总进球=2.925 主胜率=0.427 平局率=0.209
[写入] 芬超(Veikkausliiga) id=10: 球队=10 场次=293 场均总进球=3.345 主胜率=0.410 平局率=0.239
[写入] 挪超(Eliteserien) id=11: 球队=13 场次=398 场均总进球=3.377 主胜率=0.523 平局率=0.214
[写入] 美职联(Major League Soccer) id=12: 球队=30 场次=1080 场均总进球=3.017 主胜率=0.443 平局率=0.250
[写入] 巴甲(Campeonato Brasileiro Série A) id=13: 球队=10 场次=401 场均总进球=2.708 主胜率=0.589 平局率=0.259
[写入] 荷甲(Eredivisie) id=17: 球队=18 场次=502 场均总进球=3.546 主胜率=0.558 平局率=0.231
[写入] 荷乙(Eerste Divisie) id=18: 球队=20 场次=530 场均总进球=2.826 主胜率=0.423 平局率=0.213
[写入] 德乙(2. Bundesliga) id=19: 球队=15 场次=366 场均总进球=2.601 主胜率=0.355 平局率=0.240
[写入] 法乙(Ligue 2) id=20: 球队=15 场次=389 场均总进球=2.576 主胜率=0.324 平局率=0.257
[写入] 葡超(Liga Portugal) id=21: 球队=17 场次=439 场均总进球=2.843 主胜率=0.469 平局率=0.267
[写入] 英冠(Championship) id=22: 球队=25 场次=858 场均总进球=2.497 主胜率=0.434 平局率=0.225
[跳过] 日乙(J2-League) id=24: 有效球队统计仅 3 支（<6），数据不足

=== calib 建议表（L4：avg_total / 2.5，与 LEAGUE_PARAMS 口径一致） ===
联赛        id    场均总进球       calib建议   现有calib   状态
英超        1     3.165       1.266     0.942     已有
西甲        2     2.946       1.178     0.923     已有
德甲        3     3.322       1.329     0.991     已有
意甲        4     2.496       0.998     0.891     已有
法甲        5     3.275       1.310     0.963     已有
韩K        6     2.480       0.992     0.947     已有
日职联       7     2.473       0.989     0.880     已有
瑞典超       9     2.925       1.170     1.011     已有
芬超        10    3.345       1.338     0.900     已有
挪超        11    3.377       1.351     1.022     已有
美职联       12    3.017       1.207     1.050     已有
巴甲        13    2.708       1.083     0.912     已有
荷甲        17    3.546       1.418     0.950     缺失
荷乙        18    2.826       1.131     1.210     已有
德乙        19    2.601       1.040     1.225     已有
法乙        20    2.576       1.030     0.950     缺失
葡超        21    2.843       1.137     1.040     已有
英冠        22    2.497       0.999     0.992     已有
