==============================================================================
最终定稿: 线上(存库) vs 修复后重跑(数据修复 + Model C 葡超×0.92) | snap_top2_c cap4
==============================================================================
联赛            结算          线上          重跑      变化
挪超            20   10/20=50%   10/20=50%    +0pp
瑞典超           19   14/19=74%   14/19=74%    +0pp
芬超            17    9/17=53%    9/17=53%    +0pp
韩K            15    7/15=47%    7/15=47%    +0pp
巴甲            13    9/13=69%    9/13=69%    +0pp
欧冠            10    8/10=80%    8/10=80%    +0pp
美职联            9     6/9=67%     6/9=67%    +0pp
葡超             8     4/8=50%     4/8=50%    +0pp
荷甲             8     5/8=62%     5/8=62%    +0pp
日职联            5     3/5=60%     3/5=60%    +0pp
欧罗巴            4     2/4=50%     2/4=50%    +0pp
荷乙             3     2/3=67%     2/3=67%    +0pp
德乙             3     2/3=67%     2/3=67%    +0pp
法乙             3     1/3=33%     1/3=33%    +0pp
巴西杯            2      0/2=0%      0/2=0%    +0pp
日乙             2     1/2=50%     1/2=50%    +0pp
英冠             1      0/1=0%      0/1=0%    +0pp
------------------------------------------------------------------------------
总计           14283/142=58.5%83/142=58.5%  +0.0pp
