==============================================================================
近30天命中率对比: 线上(存库) vs 修复后重跑(串台过滤+sm合并+葡超×0.92) | snap_top2 cap4
==============================================================================
联赛            结算          线上          重跑      变化
挪超            20    9/20=45%    7/20=35%   -10pp
瑞典超           19   12/19=63%   12/19=63%    +0pp
芬超            17    8/17=47%    9/17=53%    +6pp
韩K            15    7/15=47%    7/15=47%    +0pp
巴甲            13    9/13=69%    8/13=62%    -8pp
欧冠            10    7/10=70%    8/10=80%   +10pp
美职联            9     6/9=67%     5/9=56%   -11pp
葡超             8     2/8=25%     4/8=50%   +25pp
荷甲             8     3/8=38%     5/8=62%   +25pp
日职联            5     3/5=60%     3/5=60%    +0pp
欧罗巴            4     3/4=75%     2/4=50%   -25pp
荷乙             3    3/3=100%     2/3=67%   -33pp
法乙             3     1/3=33%     1/3=33%    +0pp
德乙             3     2/3=67%     2/3=67%    +0pp
巴西杯            2      0/2=0%      0/2=0%    +0pp
日乙             2     1/2=50%     1/2=50%    +0pp
英冠             1      0/1=0%      0/1=0%    +0pp
------------------------------------------------------------------------------
总计           14276/142=53.5%76/142=53.5%  +0.0pp
